scenario,policy,benchmark,placement_tag,repeat,thread_slot,thread_tid,thread_pid,total_runtime_ms,ccd0_pct,ccd1_pct,ccd2_pct,ccd3_pct,other_pct,core_pct_map
busy-cores,eevdf,pr,,1,worker-1,301549,301547,4336.327000,0.00,0.00,0.00,100.00,0.00,"21:55.30, 27:39.98, 23:4.72"
busy-cores,eevdf,pr,,1,worker-2,301550,301547,2971.416000,0.00,67.48,32.52,0.00,0.00,"7:67.48, 20:32.52"
busy-cores,eevdf,pr,,2,master,301640,301640,3034.877000,100.00,0.00,0.00,0.00,0.00,"0:55.97, 1:34.01, 3:10.02"
busy-cores,eevdf,pr,,2,worker-1,301642,301640,3779.874000,28.05,0.00,71.95,0.00,0.00,"17:68.12, 0:23.88, 5:4.17, 14:3.25, 20:0.59"
busy-cores,eevdf,pr,,2,worker-2,301643,301640,4350.251000,0.00,0.00,0.00,100.00,0.00,"22:76.71, 21:17.72, 27:5.57"
busy-cores,eevdf,pr,,3,master,301812,301812,3172.110000,100.00,0.00,0.00,0.00,0.00,"0:52.15, 4:47.85"
busy-cores,eevdf,pr,,3,worker-1,301820,301812,4487.485000,0.00,0.00,100.00,0.00,0.00,"19:98.81, 20:1.19"
busy-cores,eevdf,pr,,3,worker-2,301821,301812,4455.968000,0.00,0.00,0.00,100.00,0.00,"21:72.07, 22:21.05, 27:6.32, 23:0.57"
busy-cores,eevdf,pr,,4,master,302023,302023,3018.079000,100.00,0.00,0.00,0.00,0.00,"2:93.69, 3:4.50, 0:1.81"
busy-cores,eevdf,pr,,4,worker-1,302025,302023,4386.533000,0.00,0.00,0.00,100.00,0.00,"23:90.81, 27:8.01, 26:1.18"
busy-cores,eevdf,pr,,4,worker-2,302026,302023,3082.362000,0.00,46.97,53.03,0.00,0.00,"20:53.03, 7:46.97"
busy-cores,eevdf,pr,,5,master,302349,302349,3107.854000,100.00,0.00,0.00,0.00,0.00,"0:54.28, 4:37.54, 2:7.41, 1:0.77"
busy-cores,eevdf,pr,,5,worker-1,302354,302349,4329.507000,0.00,0.00,0.00,100.00,0.00,"21:68.80, 22:25.49, 27:5.71"
busy-cores,eevdf,pr,,5,worker-2,302355,302349,2995.716000,0.00,100.00,0.00,0.00,0.00,8:100.00
busy-cores,optimal,pr,,1,master,303345,303345,2719.607000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,pr,,1,worker-1,303347,303345,2617.609000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,pr,,1,worker-2,303348,303345,2612.425000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,pr,,2,master,303540,303540,2676.211000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,pr,,2,worker-1,303545,303540,2572.287000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,pr,,2,worker-2,303546,303540,2565.355000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,pr,,3,master,303593,303593,2692.822000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,pr,,3,worker-1,303598,303593,2587.998000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,pr,,3,worker-2,303599,303593,2583.516000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,pr,,4,master,303646,303646,2706.964000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,pr,,4,worker-1,303651,303646,2603.742000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,pr,,4,worker-2,303652,303646,2593.575000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,pr,,5,master,303705,303705,2730.624000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,pr,,5,worker-1,303710,303705,2619.388000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,pr,,5,worker-2,303711,303705,2614.028000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,same-chiplet,pr,taskset-0-6,1,master,48791,48791,2694.358000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,same-chiplet,pr,taskset-0-6,1,worker-1,48793,48791,2592.652000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,same-chiplet,pr,taskset-0-6,1,worker-2,48794,48791,2588.137000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,same-chiplet,pr,taskset-0-6,2,master,48835,48835,2703.587000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,same-chiplet,pr,taskset-0-6,2,worker-1,48837,48835,2599.657000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,same-chiplet,pr,taskset-0-6,2,worker-2,48838,48835,2596.026000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,same-chiplet,pr,taskset-0-6,3,master,48879,48879,2744.019000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,same-chiplet,pr,taskset-0-6,3,worker-1,48881,48879,2637.591000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,same-chiplet,pr,taskset-0-6,3,worker-2,48882,48879,2635.201000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,same-chiplet,pr,taskset-0-6,4,master,48923,48923,2701.380000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,same-chiplet,pr,taskset-0-6,4,worker-1,48925,48923,2596.916000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,same-chiplet,pr,taskset-0-6,4,worker-2,48926,48923,2593.073000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,same-chiplet,pr,taskset-0-6,5,master,49283,49283,2712.809000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,same-chiplet,pr,taskset-0-6,5,worker-1,49285,49283,2606.394000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,same-chiplet,pr,taskset-0-6,5,worker-2,49286,49283,2605.620000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,same-chiplet,pr,taskset-14-20,1,master,50448,50448,3394.523000,0.00,0.00,100.00,0.00,0.00,14:100.00
busy-cores,same-chiplet,pr,taskset-14-20,1,worker-1,50450,50448,3107.683000,0.00,0.00,100.00,0.00,0.00,15:100.00
busy-cores,same-chiplet,pr,taskset-14-20,1,worker-2,50451,50448,3116.959000,0.00,0.00,100.00,0.00,0.00,16:100.00
busy-cores,same-chiplet,pr,taskset-14-20,2,master,50492,50492,3354.157000,0.00,0.00,100.00,0.00,0.00,14:100.00
busy-cores,same-chiplet,pr,taskset-14-20,2,worker-1,50494,50492,3696.383000,0.00,0.00,100.00,0.00,0.00,15:100.00
busy-cores,same-chiplet,pr,taskset-14-20,2,worker-2,50495,50492,3167.686000,0.00,0.00,100.00,0.00,0.00,16:100.00
busy-cores,same-chiplet,pr,taskset-14-20,3,master,50539,50539,3607.705000,0.00,0.00,100.00,0.00,0.00,14:100.00
busy-cores,same-chiplet,pr,taskset-14-20,3,worker-1,50541,50539,3247.549000,0.00,0.00,100.00,0.00,0.00,15:100.00
busy-cores,same-chiplet,pr,taskset-14-20,3,worker-2,50542,50539,3224.862000,0.00,0.00,100.00,0.00,0.00,16:100.00
