scenario,policy,benchmark,placement_tag,placement_detail,omp_threads,repeat,trial_time_s,perf_sched_status,perf_sched_trace_path,perf_sched_cpus
busy-cores,same-chiplet,pr,taskset-0-6,taskset -c 0-6,3,4,0.317120,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-0-6__r4__perf.timehist.log,"0,1,2"
busy-cores,same-chiplet,pr,taskset-0-6,taskset -c 0-6,3,5,0.314900,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-0-6__r5__perf.timehist.log,"0,1,2"
busy-cores,same-chiplet,pr,taskset-14-20,taskset -c 14-20,3,1,1.132790,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-14-20__r1__perf.timehist.log,"14,15,16"
busy-cores,same-chiplet,pr,taskset-14-20,taskset -c 14-20,3,2,0.763400,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-14-20__r2__perf.timehist.log,"14,15,16"
busy-cores,same-chiplet,pr,taskset-14-20,taskset -c 14-20,3,3,1.154300,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-14-20__r3__perf.timehist.log,"14,15,16"
busy-cores,same-chiplet,pr,taskset-14-20,taskset -c 14-20,3,4,0.500250,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-14-20__r4__perf.timehist.log,"14,15,16"
busy-cores,same-chiplet,pr,taskset-14-20,taskset -c 14-20,3,5,1.112150,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-14-20__r5__perf.timehist.log,"14,15,16"
busy-cores,same-chiplet,pr,taskset-21-27,taskset -c 21-27,3,1,1.543980,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-21-27__r1__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,pr,taskset-21-27,taskset -c 21-27,3,2,1.085860,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-21-27__r2__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,pr,taskset-21-27,taskset -c 21-27,3,3,1.205650,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-21-27__r3__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,pr,taskset-21-27,taskset -c 21-27,3,4,1.437380,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-21-27__r4__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,pr,taskset-21-27,taskset -c 21-27,3,5,1.111630,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-21-27__r5__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,pr,taskset-7-13,taskset -c 7-13,3,1,0.315720,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-7-13__r1__perf.timehist.log,"7,8,9"
busy-cores,same-chiplet,pr,taskset-7-13,taskset -c 7-13,3,2,0.391980,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-7-13__r2__perf.timehist.log,"7,8,9"
busy-cores,same-chiplet,pr,taskset-7-13,taskset -c 7-13,3,3,0.319820,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-7-13__r3__perf.timehist.log,"7,8,9"
busy-cores,same-chiplet,pr,taskset-7-13,taskset -c 7-13,3,4,0.373390,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-7-13__r4__perf.timehist.log,"7,8,9"
busy-cores,same-chiplet,pr,taskset-7-13,taskset -c 7-13,3,5,0.315640,recorded,/home/seunghyun/exp3/exp1/results/busy-pr-same-chiplet-4avg-20260325T0331Z/raw/busy-cores__same-chiplet__pr__taskset-7-13__r5__perf.timehist.log,"7,8,9"
free-cores,eevdf,bfs,,,3,1,0.015300,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__eevdf__bfs__r1__perf.timehist.log,"4,13,20"
free-cores,eevdf,bfs,,,3,2,0.015230,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__eevdf__bfs__r2__perf.timehist.log,"4,13,20"
free-cores,eevdf,bfs,,,3,3,0.015150,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__eevdf__bfs__r3__perf.timehist.log,"4,12,20"
free-cores,eevdf,bfs,,,3,4,0.015430,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__eevdf__bfs__r4__perf.timehist.log,"4,13,20"
free-cores,eevdf,bfs,,,3,5,0.020660,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__eevdf__bfs__r5__perf.timehist.log,"4,20,27"
free-cores,optimal,bfs,,,3,1,0.012440,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__optimal__bfs__r1__perf.timehist.log,"4,5,6,118"
free-cores,optimal,bfs,,,3,2,0.012780,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__optimal__bfs__r2__perf.timehist.log,"4,5,6,132"
free-cores,optimal,bfs,,,3,3,0.012740,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__optimal__bfs__r3__perf.timehist.log,"4,5,6,132"
free-cores,optimal,bfs,,,3,4,0.012290,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__optimal__bfs__r4__perf.timehist.log,"4,5,6,132"
free-cores,optimal,bfs,,,3,5,0.012200,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/free-cores__optimal__bfs__r5__perf.timehist.log,"4,5,6,118"
free-cores,same-chiplet,bfs,cores-11-12-13,"OMP_PLACES={11},{12},{13}",3,1,0.012930,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-11-12-13__r1__perf.timehist.log,"11,12,13,118"
free-cores,same-chiplet,bfs,cores-11-12-13,"OMP_PLACES={11},{12},{13}",3,2,0.012530,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-11-12-13__r2__perf.timehist.log,"11,12,13,118"
free-cores,same-chiplet,bfs,cores-11-12-13,"OMP_PLACES={11},{12},{13}",3,3,0.012530,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-11-12-13__r3__perf.timehist.log,"11,12,13,118"
free-cores,same-chiplet,bfs,cores-11-12-13,"OMP_PLACES={11},{12},{13}",3,4,0.013060,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-11-12-13__r4__perf.timehist.log,"11,12,13,118"
free-cores,same-chiplet,bfs,cores-11-12-13,"OMP_PLACES={11},{12},{13}",3,5,0.012720,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-11-12-13__r5__perf.timehist.log,"11,12,13,118"
free-cores,same-chiplet,bfs,cores-18-19-20,"OMP_PLACES={18},{19},{20}",3,1,0.013190,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-18-19-20__r1__perf.timehist.log,"18,19,20,118"
free-cores,same-chiplet,bfs,cores-18-19-20,"OMP_PLACES={18},{19},{20}",3,2,0.013380,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-18-19-20__r2__perf.timehist.log,"18,19,20,118"
free-cores,same-chiplet,bfs,cores-18-19-20,"OMP_PLACES={18},{19},{20}",3,3,0.013280,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-18-19-20__r3__perf.timehist.log,"18,19,20,118"
free-cores,same-chiplet,bfs,cores-18-19-20,"OMP_PLACES={18},{19},{20}",3,4,0.013150,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-18-19-20__r4__perf.timehist.log,"18,19,20,118"
free-cores,same-chiplet,bfs,cores-18-19-20,"OMP_PLACES={18},{19},{20}",3,5,0.013230,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-18-19-20__r5__perf.timehist.log,"18,19,20,34"
free-cores,same-chiplet,bfs,cores-25-26-27,"OMP_PLACES={25},{26},{27}",3,1,0.023460,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-25-26-27__r1__perf.timehist.log,"25,26,27,118"
free-cores,same-chiplet,bfs,cores-25-26-27,"OMP_PLACES={25},{26},{27}",3,2,0.021860,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-25-26-27__r2__perf.timehist.log,"25,26,27,34,118"
free-cores,same-chiplet,bfs,cores-25-26-27,"OMP_PLACES={25},{26},{27}",3,3,0.023910,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-25-26-27__r3__perf.timehist.log,"25,26,27,34"
free-cores,same-chiplet,bfs,cores-25-26-27,"OMP_PLACES={25},{26},{27}",3,4,0.022330,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-25-26-27__r4__perf.timehist.log,"25,26,27,118"
free-cores,same-chiplet,bfs,cores-25-26-27,"OMP_PLACES={25},{26},{27}",3,5,0.023770,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-25-26-27__r5__perf.timehist.log,"25,26,27,118"
free-cores,same-chiplet,bfs,cores-4-5-6,"OMP_PLACES={4},{5},{6}",3,1,0.012620,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-4-5-6__r1__perf.timehist.log,"4,5,6,118"
free-cores,same-chiplet,bfs,cores-4-5-6,"OMP_PLACES={4},{5},{6}",3,2,0.012650,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-4-5-6__r2__perf.timehist.log,"4,5,6,118"
free-cores,same-chiplet,bfs,cores-4-5-6,"OMP_PLACES={4},{5},{6}",3,3,0.012460,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-4-5-6__r3__perf.timehist.log,"4,5,6,118"
free-cores,same-chiplet,bfs,cores-4-5-6,"OMP_PLACES={4},{5},{6}",3,4,0.012500,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-4-5-6__r4__perf.timehist.log,"4,5,6,34"
free-cores,same-chiplet,bfs,cores-4-5-6,"OMP_PLACES={4},{5},{6}",3,5,0.012310,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/free-cores__same-chiplet__bfs__cores-4-5-6__r5__perf.timehist.log,"4,5,6,118"
