timestamp_utc	host	arch	backend	mode	event_name	perf_scope	assignment_label	instance_count	instance_id	cpu_core	operation	operations	average_us	min_us	max_us	p50_us	p95_us	p99_us	p99_9_us	p99_99_us	status	run_stdout_log	result_dir
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	10	70	CLEANUP	1	26264.0	26256.0	26271.0	26271.0	26271.0	26271.0	26271.0	26271.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst10/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	11	77	READ	1000000	14.060312	1.0	16055.0	11.0	28.0	34.0	45.0	5639.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst11/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
2026-03-14T06:05:25Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x1	12	11	77	CLEANUP	1	24040.0	24032.0	24047.0	24047.0	24047.0	24047.0	24047.0	24047.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1/inst11/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x1
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	0	0	READ	1000000	14.96848	1.0	21231.0	11.0	30.0	37.0	58.0	4065.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst00/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	0	0	CLEANUP	1	33808.0	33792.0	33823.0	33823.0	33823.0	33823.0	33823.0	33823.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst00/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	1	1	READ	1000000	14.279073	1.0	20767.0	11.0	29.0	36.0	49.0	4067.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst01/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	1	1	CLEANUP	1	25320.0	25312.0	25327.0	25327.0	25327.0	25327.0	25327.0	25327.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst01/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	2	7	READ	1000000	14.772413	1.0	18207.0	11.0	29.0	37.0	53.0	4059.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst02/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	2	7	CLEANUP	1	25544.0	25536.0	25551.0	25551.0	25551.0	25551.0	25551.0	25551.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst02/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	3	8	READ	1000000	14.497621	1.0	16071.0	11.0	29.0	36.0	48.0	4583.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst03/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	3	8	CLEANUP	1	25912.0	25904.0	25919.0	25919.0	25919.0	25919.0	25919.0	25919.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst03/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	4	14	READ	1000000	14.706777	1.0	20063.0	11.0	29.0	37.0	55.0	4063.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst04/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	4	14	CLEANUP	1	26088.0	26080.0	26095.0	26095.0	26095.0	26095.0	26095.0	26095.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst04/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	5	15	READ	1000000	14.963022	1.0	18047.0	11.0	29.0	37.0	56.0	4057.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst05/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	5	15	CLEANUP	1	36912.0	36896.0	36927.0	36927.0	36927.0	36927.0	36927.0	36927.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst05/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	6	21	READ	1000000	14.358563	1.0	24863.0	10.0	29.0	37.0	51.0	4303.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst06/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
2026-03-14T06:06:10Z	madracks-mnode5	amd	rocksdb	embedded	NO_RETIRED_INST_CYCLES	user	chiplet_x2	24	6	21	CLEANUP	1	26600.0	26592.0	26607.0	26607.0	26607.0	26607.0	26607.0	26607.0	ok	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2/inst06/run.stdout.log	/home/seunghyun/ycsb/results/chiplet_ycsb_256mib_madracks-mnode5_20260314T060453Z_1429430/runs/rocksdb/chiplet_x2
